54924,3032,کرناوه شیرین,165649,6
54925,3032,حصار لایین,393554,6
54926,3033,احمد آباد,165624,6
54927,3033,بابا رمضان,165629,6
54928,3033,چهار راه,165634,6
54929,3033,خاکستر,165639,6
54930,3033,رباط,165640,6
54931,3033,زو بالا,165641,6
54932,3033,سنگدیوار,165643,6
54933,3033,رجب آباد,165644,6
54934,3033,عزیز آباد,165645,6
54935,3033,کریم آباد,165650,6
54936,3033,لایین کهنه,165652,6
54937,3034,ایرج آباد,159101,6
54938,3034,تکمار,159103,6
54939,3034,جابوز,159104,6
54940,3034,شرکت انقلاب اسلامی,159105,6
54941,3034,شرکت بدر,159106,6
54942,3034,شرکت شهید کامیاب,159107,6
54943,3034,شرکت شهید هاشمی نژاد,159108,6
54944,3034,شرکت طالقانی,159109,6
54945,3034,شرکت قایم,159110,6
54946,3034,چاه برقی غفاری,396809,6
54947,3034,چاه حاجی حسین مقدم / چاه شهید مقدم,396819,6
54948,3034,شن شویی بنیادمسکن,396820,6
54949,3034,شرکت خدمات کشاورزی نبوت,396821,6
54950,3034,چاه شهید عبدی,396822,6
54951,3034,شرکت میثم تمار,396842,6
54952,3034,کارخانه آسفالت جهادسازندگی,396845,6
54953,3034,شرکت کشاورزی و دامپروری بعثت,396846,6
54954,3034,چاه موتور شماره 1 برکال,396848,6
54955,3034,چاه شهید شکوری,396850,6
54956,3034,چاه شهید طاهری,396853,6
54957,3035,جعفر آباد,158903,6
54958,3035,چاه سبز,158904,6
54959,3035,چاه تجری,158905,6
54960,3035,حجت آباد,158906,6
54961,3035,حسین آباد,158907,6
54962,3035,رفعت آباد,158909,6
54963,3035,رکن آباد,158910,6
54964,3035,سپاهی,158911,6
54965,3035,سعدالدین,158912,6
54966,3035,سلیمانیه,158913,6
54967,3035,سنبل,158914,6
54968,3035,شوراب,158916,6
54969,3035,طاهر آباد,158918,6
54970,3035,عباسیه,158919,6
54971,3035,علی آباد شور,158921,6
54972,3035,قهندیز,158922,6
54973,3035,کاهه,158923,6
54974,3035,کلاته بلبل,158924,6
54975,3035,کلاته رحیم,158926,6
54976,3035,کلاته ملا محمد,158928,6
54977,3035,مهدی آباد,158929,6
54978,3035,نصرتیه,158930,6
54979,3035,نمکدان,158931,6
54980,3035,انبارخانه,396813,6
54981,3035,کلاته توحیدی,396826,6
54982,3035,کلاته نوراله,396827,6
54983,3035,کال سرخ محمد آباد,396828,6
54984,3035,چاه موتور ولوا,396831,6
54985,3035,امامزاده شاهزاده هادی,396833,6
54986,3035,موتور آب شماره 2 کاهه,396834,6
54987,3035,موتور آب شماره 1 کاهه,396836,6
54988,3035,موتور آب سنبل,396837,6
54989,3035,موتور آب رفعت آباد,396838,6
54990,3035,زمان آباد,396843,6
54991,3035,موتور آب شهید نظریان,396862,6
54992,3035,چاه موتور حاجی فدایی,396863,6
54993,3035,موتور آب شهید شادکان,396864,6
54994,3035,موتور آب زمان آباد,396865,6
54995,3035,موتور آب شهید ایزدی,396866,6
54996,3036,ابرو,158963,6
54997,3036,الهیار,158966,6
54998,3036,باغچه خانم,158967,6
54999,3036,پیرسرخ,158971,6
55000,3036,تاریک دره,158972,6
55001,3036,تیغ سبز,158976,6
55002,3036,جزرود,158977,6
55003,3036,حاج غلامعلی,158978,6
55004,3036,حجت آباد / کلاته خان,158980,6
55005,3036,خار زنج,158985,6
55006,3036,دهنو,158987,6
55007,3036,شمس آباد,158994,6
55008,3036,صالحی زیر سنگ,158997,6
55009,3036,طاهر آباد,158998,6
55010,3036,کاریزک,159002,6
55011,3036,کلاته بززار,159005,6
55012,3036,کلاته غفاری,159006,6
55013,3036,کلاته شاه حسن,159009,6
55014,3036,کلاته شوکتی,159010,6
55015,3036,کلاته لوشی,159013,6
